EcoDistrict,Province,Acid_Soil,Poor_Soil,Percentage
714,SK,-1,-1,0.87966154
714,SK,-1,0,0.11381055
714,SK,0,-1,0
714,SK,0,0,0.00652791
711,SK,-1,-1,1
711,SK,-1,0,0
711,SK,0,-1,0
711,SK,0,0,0
710,SK,-1,-1,1
710,SK,-1,0,0
710,SK,0,-1,0
710,SK,0,0,0
709,MB,-1,-1,0.00995286
709,MB,-1,0,0.83401755
709,MB,0,-1,0.01561206
709,MB,0,0,0.14041752
709,SK,-1,-1,0.46880943
709,SK,-1,0,0.26494466
709,SK,0,-1,0.00239361
709,SK,0,0,0.2638523
708,AB,-1,-1,0.7883011
708,AB,-1,0,0.2116989
708,AB,0,-1,0
708,AB,0,0,0
707,SK,-1,-1,0.85325359
707,SK,-1,0,0.04191222
707,SK,0,-1,0.00609997
707,SK,0,0,0.09873423
706,SK,-1,-1,0.93691659
706,SK,-1,0,0.05889495
706,SK,0,-1,0
706,SK,0,0,0.00418846
705,SK,-1,-1,0.18909085
705,SK,-1,0,0.81090915
705,SK,0,-1,0
705,SK,0,0,0
704,SK,-1,-1,0.17351002
704,SK,-1,0,0.31538534
704,SK,0,-1,0.01258652
704,SK,0,0,0.49851812
703,AB,-1,-1,0.83924955
703,AB,-1,0,0.16075045
703,AB,0,-1,0
703,AB,0,0,0
702,SK,-1,-1,0.30221154
702,SK,-1,0,0.69764551
702,SK,0,-1,0.00014295
702,SK,0,0,0
701,SK,-1,-1,1
701,SK,-1,0,0
701,SK,0,-1,0
701,SK,0,0,0
700,SK,-1,-1,0.73526079
700,SK,-1,0,0.26473921
700,SK,0,-1,0
700,SK,0,0,0
699,SK,-1,-1,1
699,SK,-1,0,0
699,SK,0,-1,0
699,SK,0,0,0
698,SK,-1,-1,0.79899359
698,SK,-1,0,0.03358096
698,SK,0,-1,0.16742545
698,SK,0,0,0
697,SK,-1,-1,0.20996943
697,SK,-1,0,0.18337956
697,SK,0,-1,0
697,SK,0,0,0.60665101
696,SK,-1,-1,0.86250149
696,SK,-1,0,0.12065116
696,SK,0,-1,0.00774694
696,SK,0,0,0.00910041
695,SK,-1,-1,0.96280235
695,SK,-1,0,0.00371408
695,SK,0,-1,0.03348356
695,SK,0,0,0
694,SK,-1,-1,0.32865908
694,SK,-1,0,0.27714389
694,SK,0,-1,0.24783794
694,SK,0,0,0.14635909
693,SK,-1,-1,0.81365235
693,SK,-1,0,0.09274526
