Ecodistrict_ID,Province_ID,F_TOPO,P,PE
733,SK,0.113141932,280.1766667,566.1033333
734,SK,0.179674909,281.1733333,561.7666667
735,SK,0.101616665,271.5466667,568.3766667
736,SK,0.096266723,280.8166667,588.1066667
737,AB,0.108615515,362.1166667,557.3133333
738,AB,0.144255299,327.29,581.0333333
739,AB,0.14248527,293.5166667,575.1166667
739,SK,0.1751992,293.5166667,575.1166667
740,AB,0.18111763,357.01,560.3966667
741,SK,0.116100981,300.0566667,566.5233333
742,SK,0.198194267,280.3366667,586.01
743,AB,0.143541969,295.34,579.44
743,SK,0.099376798,295.34,579.44
744,AB,0.136869114,348.61,571.1533333
745,SK,0.103206477,320.28,552.5666667
746,AB,0.158245466,357.33,550.8
747,SK,0.038140545,340.3966667,560.1066667
748,SK,0.114404022,327.81,559.1966667
749,SK,0.13117913,339.8766667,576.8666667
750,AB,0.158092965,325.5433333,587.93
751,MB,0.006339621,340.98,585.88
751,SK,0.094803262,340.98,585.88
752,MB,0.070604328,345.16,586.6633333
752,SK,0.12584078,345.16,586.6633333
753,MB,0.010922794,332.9033333,562.3266667
754,SK,0.110536429,316.8133333,605.2633333
755,SK,0.11362959,309.2,629.1333333
756,SK,0.123807199,321.9233333,603.8466667
757,MB,0.086110648,368.5,596.49
758,MB,0.035471054,348.96,631.1533333
759,MB,0.027466377,369.0766667,595.14
760,MB,0.126636486,338.9,613.2333333
760,SK,0.063099266,338.9,613.2333333
761,SK,0.167118355,329.2866667,611.4533333
762,SK,0.143493526,324.2133333,621.31
763,MB,0.031545334,346.4266667,629.1966667
763,SK,0.087306248,346.4266667,629.1966667
764,MB,0.061600812,379.0333333,613.9766667
765,MB,0.016150544,368.9966667,612.5133333
766,MB,0.022475041,386.9966667,595.77
767,SK,0.100151545,255.3133333,586.1333333
768,SK,0.170787264,272.8266667,585.76
769,AB,0.150000319,304.5366667,588.95
770,SK,0.149973987,261.7466667,632.4066667
771,AB,0.216230259,278.9933333,612.1866667
771,SK,0.12186951,278.9933333,612.1866667
772,SK,0.114659737,259.3566667,599.3433333
773,SK,0.116986417,280.2166667,593.9066667
774,SK,0.140050468,278.0166667,586.6833333
775,SK,0.154205173,260.52,594.2266667
776,SK,0.190526646,261.21,603.1666667
777,AB,0.146350678,304.1933333,590.2166667
778,SK,0.098282159,257.22,599.34
779,AB,0.225002948,307.5066667,598.56
780,SK,0.09345448,234.0966667,660.3166667
781,AB,0.148010187,303.84,611.8466667
782,SK,0.145859213,286.0966667,613.1166667
783,SK,0.13200907,293.4533333,557.9733333
784,SK,0.086287615,292.9933333,595.2466667
785,SK,0.122196436,290,603.0933333
786,AB,0.157422928,296.2366667,615.0966667
787,AB,0.21660424,263.8933333,644.3366667
788,AB,0.120077619,266.65,634.21
789,SK,0.101796409,277.4166667,627.4333333
790,AB,0.091230228,264.9533333,635.66
791,AB,0.120590825,288.56,630.9033333
792,SK,0.072844518,288.6966667,648.2
793,AB,0.115765728,276.94,652.6133333
794,SK,0.137505366,312.3733333,640.0366667
795,SK,0.15176507,303.3633333,648.5
796,SK,0.070023787,301.7466667,655.7233333
797,AB,0.214441699,281.75,644.4833333
798,AB,0.148076858,307.8166667,589.5333333
799,AB,0.12499967,298.2533333,618.6766667
800,AB,0.162143315,313.0233333,620.24
801,AB,0.15126578,356.4866667,585.2833333
802,AB,0.182381214,301.1633333,627.6066667
803,SK,0.0880638,243.3233333,627.99
804,AB,0.115897612,257.3566667,630.7933333
805,AB,0.131067249,228.4066667,649.9933333
805,SK,0.070923795,228.4066667,649.9933333
806,AB,0.127413053,229.7066667,668.2366667
807,SK,0.110508758,244.7133333,647.71
808,SK,0.131394253,233.37,652.8933333
809,AB,0.21362083,227.15,652.1833333
809,SK,0.156896751,227.15,652.1833333
810,SK,0.177824223,256.7333333,631.1666667
811,AB,0.129902906,233.2033333,639.7633333
811,SK,0.099945458,233.2033333,639.7633333
812,AB,0.143852022,244.4133333,657.2866667
813,SK,0.129225468,261.8533333,634.0633333
814,AB,0.219530295,229.0533333,664.97
815,AB,0.101875626,231.0366667,673.18
815,SK,0.16677197,231.0366667,673.18
816,SK,0.127519935,271.76,639.0633333
817,SK,0.078298453,237.4866667,672.0066667
818,AB,0.143172711,252.0033333,656.2866667
819,SK,0.225521132,232.05,677.99
820,SK,0.132510326,244.32,657.8433333
821,AB,0.057512689,232.9333333,684.2966667
821,SK,0.168410903,232.9333333,684.2966667
822,SK,0.120779578,282.44,649.08
823,AB,0.120944259,235.66,679.0266667
824,SK,0.139253698,259.1533333,649.0633333
825,SK,0.073142033,264.0866667,635.1266667
826,SK,0.063751261,263.87,678.1466667
827,SK,0.080356054,246.8433333,685.54
828,AB,0.098298441,244.7933333,675.35
829,AB,0.131248766,242.3833333,664.41
830,SK,0.125726595,286.19,636.8066667
831,SK,0.148877838,298.4866667,642.69
832,SK,0.037569801,246.6566667,701.8133333
833,AB,0.138813303,236.3833333,683.6
833,SK,0.135205064,236.3833333,683.6
834,SK,0.131505223,251.2066667,683.5033333
835,SK,0.225804392,254.21,658.3066667
836,AB,0.05,242.48,690.65
837,AB,0.05,248.28,683.2833333
837,SK,0.044116755,248.28,683.2833333
838,AB,0.028039303,250.2466667,679.0333333
838,SK,0.119154757,250.2466667,679.0333333
839,MB,0.081632558,381.24,585.7233333
840,MB,0.05823577,383.7966667,583.7033333
841,MB,0.045805555,372.7266667,513.3866667
843,MB,0.048680389,384.3433333,556.0466667
844,MB,0.05,404.8133333,571.62
846,MB,0.104080003,373.08,570.7133333
847,MB,0.096764635,366.5766667,599.7533333
848,MB,0.096384192,377.2333333,548.0933333
849,MB,0.082766477,390.84,622.82
850,MB,0.001761072,369.6433333,601.9733333
851,MB,0.033498693,368.7266667,558.7733333
852,MB,0.07662753,381.9466667,625.2866667
853,MB,0.050267913,390.5866667,624.8133333
854,MB,0.079222859,386.6833333,605.6766667
