Inv_Year,Province_Sale_ID,Fert_ID,Fert_Name,Fraction
2004,AB,3,Anhydrous ammonia,0.302807863
2004,AB,4,Other,0.20461147
2004,Atlantic,1,Urea,0.136549165
2004,Atlantic,2,Urea ammonium nitrate,0
2004,Atlantic,3,Anhydrous ammonia,0
2004,Atlantic,4,Other,0.863450835
2004,BC,1,Urea,0.732637639
2004,BC,2,Urea ammonium nitrate,0.020151134
2004,BC,3,Anhydrous ammonia,0.088521051
2004,BC,4,Other,0.158690176
2004,MB,1,Urea,0.281568805
2004,MB,2,Urea ammonium nitrate,0.136930401
2004,MB,3,Anhydrous ammonia,0.43553454
2004,MB,4,Other,0.145966253
2004,ON,1,Urea,0.58267042
2004,ON,2,Urea ammonium nitrate,0.161057398
2004,ON,3,Anhydrous ammonia,0.105372659
2004,ON,4,Other,0.150899523
2004,QC,1,Urea,0.38256513
2004,QC,2,Urea ammonium nitrate,0.13747495
2004,QC,3,Anhydrous ammonia,0.049298597
2004,QC,4,Other,0.430661323
2004,SK,1,Urea,0.446716075
2004,SK,2,Urea ammonium nitrate,0.113979044
2004,SK,3,Anhydrous ammonia,0.296374722
2004,SK,4,Other,0.14293016
2005,AB,1,Urea,0.505533318
2005,AB,2,Urea ammonium nitrate,0.018460089
2005,AB,3,Anhydrous ammonia,0.278031552
2005,AB,4,Other,0.197975041
2005,Atlantic,1,Urea,0.210745523
2005,Atlantic,2,Urea ammonium nitrate,0
2005,Atlantic,3,Anhydrous ammonia,0
2005,Atlantic,4,Other,0.789254477
2005,BC,1,Urea,0.692595363
2005,BC,2,Urea ammonium nitrate,0.020942408
2005,BC,3,Anhydrous ammonia,0.061331339
2005,BC,4,Other,0.22513089
2005,MB,1,Urea,0.358191609
2005,MB,2,Urea ammonium nitrate,0.146437841
2005,MB,3,Anhydrous ammonia,0.355789718
2005,MB,4,Other,0.139580831
2005,ON,1,Urea,0.55841233
2005,ON,2,Urea ammonium nitrate,0.215781218
2005,ON,3,Anhydrous ammonia,0.067107686
2005,ON,4,Other,0.158698766
2005,QC,1,Urea,0.387679342
2005,QC,2,Urea ammonium nitrate,0.137654259
