ECODISTRIC,PROVINCE,Inv_Year_ID,ANCOARSE,ANMED,ANFINE,PERCOARSE,PERMED,PERFINE,Frac_Coarse,Frac_Medium,Frac_Fine
848,MB,1990,992.737,9308.013,0,568.947,5770.051,0,0.093852623,0.906147377,0
849,MB,1990,12525.5,43286.057,655424.442,3309.698,17226.808,75745.494,0.019609715,0.074936862,0.905453423
850,MB,1990,124503.844,31012.155,0,62700.604,7577.396,0,0.829093992,0.170906008,0
851,MB,1990,0,44533.868,34905.131,0,6262.333,5682.668,0,0.555854427,0.444145573
852,MB,1990,42737.11,98776.081,116703.807,8351.085,7264.294,8498.622,0.180951419,0.375588849,0.443459731
853,MB,1990,0,18490.152,34057.848,0,519.363,956.637,0,0.351871668,0.648128332
854,MB,1990,5977.5,75466.5,0,1755.25,18724.749,0,0.075867804,0.924132196,0
855,MB,1990,0,10974,0,0,4096,0,0,1,0
481,NB,1990,0,0,0,0,0,0,0,0,0
484,NB,1990,0,112,0,0,503,0,0,1,0
485,NB,1990,419.037,417.962,0,1289.401,1193.599,0,0.514589914,0.485410086,0
486,NB,1990,609.1,5656.9,0,657.49,5180.51,0,0.104642267,0.895357733,0
487,NB,1990,270.807,547.196,0,1171.871,2830.132,0,0.299310416,0.700689584,0
488,NB,1990,12.667,152.333,0,80.667,925.333,0,0.079704526,0.920295474,0
489,NB,1990,139,519,0,400,1444,0,0.215427658,0.784572342,0
490,NB,1990,216,615,0,960.547,861.453,0,0.443477949,0.556522051,0
493,NB,1990,1504.115,14512.979,998.903,1829.269,14788.895,676.839,0.09715205,0.854008161,0.048839789
494,NB,1990,0,11397,0,0,12690.999,0,0,1,0
495,NB,1990,123,344,0,998.99,2251.01,0,0.301853645,0.698146355,0
496,NB,1990,1986.082,281.374,134.543,18608.506,3264.722,1554.771,0.797312799,0.137285957,0.065401244
497,NB,1990,73.75,641.25,0,1020.5,2778.499,0,0.242412548,0.757587452,0
498,NB,1990,209,0,0,1930,0,0,1,0,0
499,NB,1990,378.08,261.22,11.7,1586,2981.299,89.7,0.370022677,0.610874079,0.019103244
500,NB,1990,4820.926,135.572,186.5,11934.465,260.895,943.2,0.916518767,0.021686718,0.061794514
501,NB,1990,641.5,1640.5,0,1547.277,3539.721,0,0.29702505,0.70297495,0
502,NB,1990,249.81,552.186,0,1426.309,2997.691,0,0.320727188,0.679272812,0
503,NB,1990,1617.947,1622.05,17,8934.715,14304.284,135,0.396254875,0.59803749,0.005707635
504,NB,1990,1309,422,0,7427.001,445,0,0.909715723,0.090284277,0
505,NB,1990,173,761.999,0,1104,5191.002,0,0.176625148,0.823374852,0
506,NB,1990,14,403,0,788.96,1776.04,0,0.269268947,0.730731053,0
507,NB,1990,214,1148,0,1829,7174.5,0,0.197096136,0.802903864,0
508,NB,1990,375,0,0,970,0,0,1,0,0
455,NL,1990,0,0,0,352,0,0,1,0,0
458,NL,1990,33,133.369,0,129,1076.999,0,0.11804414,0.88195586,0
460,NL,1990,0,14,0,0,78.001,0,0,1,0
461,NL,1990,0,195.669,0,0,962.998,0,0,1,0
462,NL,1990,0,15,0,0,121.999,0,0,1,0
463,NL,1990,0,113.002,0,0,968,0,0,1,0
466,NL,1990,20,214.549,0,75,1213.001,0,0.062395324,0.937604676,0
468,NL,1990,0,49.8,0,0,191,0,0,1,0
471,NL,1990,97,155.041,0,159,591.999,0,0.255224119,0.744775881,0
475,NL,1990,0,207.68,0,0,2721.999,0,0,1,0
477,NL,1990,0,0,0,191,0,0,1,0,0
504,NS,1990,4259.485,1461.021,0,21988.258,8530.748,0,0.724285222,0.275714778,0
507,NS,1990,3012.717,1475.339,0,9276.493,4869.259,0,0.659511464,0.340488536,0
509,NS,1990,264,1319,0,550.001,3918.001,0,0.13452334,0.86547666,0
510,NS,1990,40.733,33.916,0,261.333,212.666,0,0.550564296,0.449435704,0
511,NS,1990,0,27.998,0,0,196,0,0,1,0
512,NS,1990,0,699.516,0,0,5172.004,0,0,1,0
513,NS,1990,111.471,309.111,0,487.849,1258.151,0,0.27662004,0.72337996,0
514,NS,1990,3.69,0,0,32,0,0,1,0,0
516,NS,1990,237.148,515.765,0,2304.356,2786.648,0,0.434897347,0.565102653,0
517,NS,1990,387.566,2902.26,0,3182.308,23903.693,0,0.117523516,0.882476484,0
518,NS,1990,9411.505,4582.198,0,14905.69,10912.866,0,0.610796664,0.389203336,0
519,NS,1990,0,209,0,0,811,0,0,1,0
520,NS,1990,12.5,373.501,0,79,2161,0,0.034843856,0.965156144,0
521,NS,1990,0,82,0,0,721,0,0,1,0
522,NS,1990,79.06,200.864,0,895.594,3517.406,0,0.207685869,0.792314131,0
523,NS,1990,191.367,508.165,0,785.233,4104.765,0,0.17471952,0.82528048,0
524,NS,1990,7,15,0,99,115,0,0.449152542,0.550847458,0
525,NS,1990,261.185,792.468,0,2082.976,8105.026,0,0.208524546,0.791475454,0
527,NS,1990,53.666,575.332,0,254.773,2440.228,0,0.092791544,0.907208456,0
528,NS,1990,1489.656,1283.122,0,1678.283,1639.713,0,0.520120924,0.479879076,0
529,NS,1990,0,142.001,0,0,1023.001,0,0,1,0
530,NS,1990,19.333,1104.663,0,114.667,1760.333,0,0.04468162,0.95531838,0
531,NS,1990,389.148,856.129,0,960.358,5090.641,0,0.18495819,0.81504181,0
374,ON,1990,15,0,0,208,0,0,1,0,0
378,ON,1990,56,1058,0,456,6382,0,0.064386318,0.935613682,0
381,ON,1990,0,5218,0,0,41692,0,0,1,0
383,ON,1990,203.143,2386.855,0,1867.286,12494.716,0,0.122134792,0.877865208,0
386,ON,1990,76,0,0,626,0,0,1,0,0
391,ON,1990,17,0,0,194,0,0,1,0,0
400,ON,1990,0,0,438,0,0,4160,0,0,1
401,ON,1990,120.786,545.326,1025.888,1135.914,4420.78,15222.308,0.05592541,0.221000648,0.723073942
402,ON,1990,0,130,0,0,995,0,0,1,0
407,ON,1990,207.846,0,100.156,1639.215,0,923.785,0.643350649,0,0.356649351
408,ON,1990,0,14137,0,0,42291,0,0,1,0
409,ON,1990,81,854,0,694,5325.999,0,0.111430641,0.888569359,0
410,ON,1990,65.2,208.8,0,391.1,1422.9,0,0.218534483,0.781465517,0
411,ON,1990,4589.237,2482.762,0,32488.831,9479.166,0,0.75607812,0.24392188,0
412,ON,1990,0,223,892,0,1977.2,7908.8,0,0.2,0.8
413,ON,1990,5330.245,1011.327,258.717,60326.828,9014.246,1829.546,0.844236924,0.128911609,0.026851467
541,ON,1990,0,11021.851,1987.15,1517.961,6915.788,1647.25,0.065741057,0.776857471,0.157401472
542,ON,1990,0,551.268,9809.054,3567.561,2551.161,43945.279,0.059041803,0.051344042,0.889614154
543,ON,1990,3627,22032.768,8261.664,11053.575,37997.832,18643.797,0.144470193,0.590755632,0.264774175
544,ON,1990,805.773,39078.199,9784.429,6950.841,48352.012,11869.948,0.066385948,0.748282365,0.185331686
545,ON,1990,2002.02,9458.976,7755.302,9266.679,13798.798,16930.525,0.190310104,0.392786195,0.416903701
546,ON,1990,0,21747.187,4610.772,0,47505.424,11072.575,0,0.815350914,0.184649086
547,ON,1990,3315.072,15811.59,11661.918,20481.565,35174.45,38643.275,0.190239365,0.407601792,0.402158842
549,ON,1990,0,365.363,3558.758,0,1667.478,18660.521,0,0.083821167,0.916178833
550,ON,1990,659.422,3358.625,1120.035,7797.054,38997.768,10094.672,0.136334136,0.682863909,0.180801955
551,ON,1990,20008.031,50135.305,32066.069,62701.886,67290.485,84131.628,0.261464379,0.371208948,0.367326673
552,ON,1990,22211.727,4243.954,0,79314.944,28097.242,35.714,0.758207288,0.241525998,0.000266714
553,ON,1990,54020.955,85429.89,15130.858,75862.451,99043.3,21972.819,0.369553591,0.524876363,0.105570045
554,ON,1990,14138.328,2931.853,0,45573.923,6473.077,0,0.863927755,0.136072245,0
555,ON,1990,7780.165,5519.017,14683.217,18502.261,24679.272,35722.621,0.245890856,0.282526549,0.471582595
556,ON,1990,15941.945,74796.986,1440.55,50704.454,124379.236,2716.313,0.246857272,0.737745769,0.015396959
557,ON,1990,9459.032,258419.806,0,5163.055,113095.945,0,0.037867532,0.962132468,0
558,ON,1990,13360.676,184449.697,907.826,19056.732,128963.475,272.794,0.09341891,0.903178837,0.003402253
559,ON,1990,0,310.4,0,0,0,0,0,1,0
560,ON,1990,24497.346,56312.715,0,17582.875,34308.126,0,0.317105382,0.682894618,0
561,ON,1990,926.212,19194.293,2190.889,511.25,14563.805,1705.444,0.036771358,0.863557516,0.099671126
562,ON,1990,0,25158.556,12792.443,0,22585.89,11809.111,0,0.659945899,0.340054101
563,ON,1990,0,239,0,0,443,0,0,1,0
564,ON,1990,8846.036,60975.28,18494.203,18396.16,36688.74,17695.959,0.169104957,0.606245908,0.224649135
565,ON,1990,87832.684,200538.985,81107.336,19227.539,55961.036,20577.428,0.230115791,0.551322457,0.218561752
566,ON,1990,280.75,11901.1,7868.95,126.75,5162.399,4475.05,0.013667617,0.57231258,0.414019803
567,ON,1990,6620.833,151661.995,18885.17,2896.945,56909.439,7317.613,0.038960663,0.853779241,0.107260097
568,ON,1990,69512.881,8123.319,259.8,24377.116,2805.485,109.4,0.892592274,0.10389782,0.003509906
569,ON,1990,3136.45,20645.34,65113.21,1669.522,16252.994,66258.485,0.027767986,0.21319151,0.759040504
570,ON,1990,10759.943,222187.599,53448.859,1477.059,32419.582,8234.359,0.037248041,0.774995267,0.187756692
571,ON,1990,8860.888,1831.333,2441.778,2824.334,509,678.667,0.681513006,0.136494401,0.181992593
572,ON,1990,3508.356,16686.055,3512.45,486.512,2144.888,764.6,0.147396542,0.694795394,0.157808063
534,PE,1990,13772.267,4336.732,0,16347.458,4260.542,0,0.777945755,0.222054245,0
535,PE,1990,20290,0,0,13559,0,0,1,0,0
536,PE,1990,37791.082,2140.917,0,42098.295,2674.708,0,0.943148281,0.056851719,0
537,PE,1990,20241.445,493.556,0,24869.001,620,0,0.975909572,0.024090428,0
538,PE,1990,5325,0,0,4592,0,0,1,0,0
401,QC,1990,626,24,7858.23,7505,261,84388.13,0.080774979,0.002831247,0.916393774
408,QC,1990,843.567,433.561,5535.412,4678.556,3004,29739.944,0.124835945,0.077711267,0.797452789
415,QC,1990,256.22,0,0,1631,0,0,1,0,0
418,QC,1990,7081.079,826.7,470.999,21121,2633,2661,0.81054949,0.099434445,0.090016066
419,QC,1990,140,0,0,573,0,0,1,0,0
