Year,Province_ID,Crop_Type,Fert_ID,Description,Fertilizer_Applied,Emissions,IEF
2019,MB,Annual,1,Urea,157895882.9,11218698.39,0.071051241
2019,MB,Annual,2,Urea ammonium nitrate,62214285.71,3381799.024,0.054357275
2019,MB,Annual,3,Anhydrous ammonia,126184155.8,7546979.235,0.059809246
2019,MB,Annual,4,Other,79321383.18,3592285.198,0.045287728
2019,NB,Annual,1,Urea,308390.7444,27200.15666,0.088200302
2019,NB,Annual,2,Urea ammonium nitrate,0,0,
2019,NB,Annual,3,Anhydrous ammonia,0,0,
2019,NB,Annual,4,Other,8589371.307,276978.0289,0.032246601
2019,NL,Annual,1,Urea,0,0,
2019,NL,Annual,2,Urea ammonium nitrate,0,0,
2019,NL,Annual,3,Anhydrous ammonia,0,0,
2019,NL,Annual,4,Other,0,0,
2019,NS,Annual,1,Urea,0,0,
2019,NS,Annual,2,Urea ammonium nitrate,0,0,
2019,NS,Annual,3,Anhydrous ammonia,0,0,
2019,NS,Annual,4,Other,1269282.192,40568.24895,0.031961568
2019,ON,Annual,1,Urea,67092587.9,6678485.061,0.099541324
2019,ON,Annual,2,Urea ammonium nitrate,81900000,5031707.912,0.061437215
2019,ON,Annual,3,Anhydrous ammonia,10771818.18,582611.649,0.054086658
2019,ON,Annual,4,Other,44337562.16,1608737.349,0.036283848
2019,PE,Annual,1,Urea,308434.8965,27003.19924,0.087549105
2019,PE,Annual,2,Urea ammonium nitrate,0,0,
2019,PE,Annual,3,Anhydrous ammonia,0,0,
2019,PE,Annual,4,Other,15474037.01,494574.4845,0.031961568
2019,QC,Annual,1,Urea,35727487.63,3200122.833,0.089570329
2019,QC,Annual,2,Urea ammonium nitrate,29120000,1601415.137,0.054993652
2019,QC,Annual,3,Anhydrous ammonia,14618896.1,707759.5968,0.048414025
2019,QC,Annual,4,Other,30691959,1000049.811,0.032583447
2019,SK,Annual,1,Urea,550988010.7,34099032.62,0.061887068
2019,SK,Annual,2,Urea ammonium nitrate,142740000,6741649.668,0.047230277
2019,SK,Annual,3,Anhydrous ammonia,190240000,9886281.643,0.051967418
2019,SK,Annual,4,Other,206720000,8134496.748,0.039350313
2020,AB,Annual,1,Urea,483146404.3,28944320.74,0.059907971
2020,AB,Annual,2,Urea ammonium nitrate,28671553.2,1309134.665,0.045659705
2020,AB,Annual,3,Anhydrous ammonia,57323414.4,2879889.381,0.05023932
2020,AB,Annual,4,Other,126481721.3,4811589.574,0.038041778
2020,BC,Annual,1,Urea,15381789.09,890514.2553,0.057894062
2020,BC,Annual,2,Urea ammonium nitrate,0,0,
2020,BC,Annual,3,Anhydrous ammonia,550021.8604,26684.47849,0.048515305
2020,BC,Annual,4,Other,8816701.499,323992.3673,0.036747571
